Year,Date,Subregion,Habitat,SiteID,Site_name,StationID,SPP_Code,sciName,Height_cm
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,9.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,54.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,12.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,11.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PFLE,Eunicea flexuosa,26.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,53.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,21.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,17.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,16.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,5.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,40.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,22.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,6.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,7.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PFLE,Eunicea flexuosa,9.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,20.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,29.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,52.0
2011,6/8/2011,UK,P,32,Porter Patch,321,GVEN,Gorgonia ventalina,7.0
2011,6/8/2011,UK,P,32,Porter Patch,321,GVEN,Gorgonia ventalina,36.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,62.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PPOR,Pseudoplexaura porosa,27.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,70.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,60.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,14.0
2011,6/8/2011,UK,P,32,Porter Patch,321,GVEN,Gorgonia ventalina,39.0
2011,6/8/2011,UK,P,32,Porter Patch,321,GVEN,Gorgonia ventalina,9.0
2011,6/8/2011,UK,P,32,Porter Patch,321,GVEN,Gorgonia ventalina,8.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,15.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,2.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,3.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,8.0
2011,6/8/2011,UK,P,32,Porter Patch,321,GVEN,Gorgonia ventalina,13.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,30.0
2011,6/8/2011,UK,P,32,Porter Patch,321,GVEN,Gorgonia ventalina,29.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PPOR,Pseudoplexaura porosa,18.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PFLE,Eunicea flexuosa,29.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PFLE,Eunicea flexuosa,24.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,34.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,33.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PFLE,Eunicea flexuosa,32.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,31.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PFLE,Eunicea flexuosa,70.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,41.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,25.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,45.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,56.0
2011,6/8/2011,UK,P,32,Porter Patch,321,PAME,Pseudopterogorgia americana,73.0
